pr,propierty,class
1677,92.01,0
1678,73.1,0
1679,65.71,0
1680,56.88,0
1681,100,0
1682,68.55,0
1683,36.91,0
1684,70.44,0
1685,40.16,0
1686,42.83,0
1687,52,0
1688,59.71,0
1689,65.96,0
1690,47.59,0
1691,93.94,0
1692,54.75,0
1693,34.54,0
1694,66.15,0
1695,57.65,0
1696,47.85,0
1697,69.78,0
1698,34.42,0
1699,82.27,0
1700,99.83,0
1701,100,0
1702,96.23,0
1703,95.98,0
1704,100,0
1705,90.31,0
1706,97,0
1707,17.5,0
1708,72.73,0
1709,100,0
1710,77.78,0
1711,100,0
1712,82.35,0
1713,28.57,0
1714,80,0
1715,10.22,0
1716,66.67,0
1717,69.3,0
1718,76.19,0
1719,62.26,0
1720,100,0
1721,100,0
1722,62.73,0
1723,0.37,0
1724,99.84,0
1725,93.83,0
1726,71.43,0
1727,22.82,0
1728,72.73,0
1729,93.7,0
1730,64.29,0
1731,6.5,0
1732,48.27,0
1733,85.6,0
1734,37.5,0
1735,92.8,0
1736,53.63,0
1737,51.99,0
1738,64.69,0
1739,93.63,0
1740,93.4,0
1741,69.01,0
1742,100,0
1743,57.69,0
1744,61.45,0
1745,75.48,0
1746,95.65,0
1747,80.09,0
1748,47.47,0
1749,91.23,0
1750,70.3,0
1751,100,0
1752,64.6,0
1753,66.42,0
1754,86.54,0
1755,61.21,0
1756,62.07,0
1757,12,0
1758,14.94,0
1759,12.03,0
1760,23.55,0
1761,59.04,0
1762,84.91,0
1763,58.08,0
1764,21.41,0
1765,38.34,0
1766,31.75,0
1767,26.12,0
1768,9.73,0
1769,96.63,0
1770,49.14,0
1771,58.88,0
1772,3.2,0
1773,58.64,0
1774,54.92,0
1775,92.98,0
1776,28.35,0
1777,63.11,0
1778,91.76,0
1779,0.82,0
1780,91.12,0
1781,31.47,0
1782,23.69,0
1783,5.15,0
1784,54.47,0
1785,31.26,0
1786,45.41,0
1787,78.42,0
1788,37.81,0
1789,10.21,0
1790,68.7,0
1791,54.12,0
1792,42.2,0
1793,79.74,0
1794,28.81,0
1795,43.51,0
1796,50.94,0
1797,74.74,0
1798,22.94,0
1799,36.84,0
1800,61.95,0
1801,58.42,0
1802,65.82,0
1803,43.88,0
1804,43.62,0
1805,89.32,0
1806,87.44,0
1807,60.08,0
1808,58.36,0
1809,94.53,0
1810,61.57,0
1811,64.88,0
1812,85.94,0
1813,76.7,0
1814,77.83,0
1815,65.91,0
1816,71.23,0
1817,96.14,0
1818,82.26,0
1819,77.97,0
1820,70.84,0
1821,96.11,0
1822,72.92,0
1823,88.41,0
1824,98.13,0
1825,80.52,0
1826,70.62,0
1827,82.42,0
1828,56.35,0
1829,87.15,0
1830,83.94,0
1831,79.96,0
1832,24.51,0
1833,66.92,0
1834,80.93,0
1835,7.93,0
1836,99,0
1837,94.12,0
1838,83.77,0
1839,39.77,0
1840,89.1,0
1841,50.34,0
1842,85.06,0
1843,57.66,0
1844,68.76,0
1845,62.79,0
1846,56.53,0
1847,59.83,0
1848,73.24,0
1849,62.21,0
1850,97.89,0
1851,88.69,0
1852,52.12,0
1853,35.21,0
1854,15.93,0
1855,41.61,0
1856,73.17,0
1857,58.3,0
1858,75.63,0
1859,80.66,0
1860,76.1,0
1861,61.39,0
1862,87.53,0
1863,54.25,0
1864,74.57,0
1865,37.09,0
1866,56.45,0
1867,35.87,0
1868,69.6,0
1869,35.31,0
1870,43.33,0
1871,37.96,0
1872,49.82,0
1873,29.93,0
1874,45.24,0
1875,49.78,0
1876,30.76,0
1877,73.08,0
1878,76.54,0
1879,67.24,0
1880,34.02,0
1881,41.05,0
1882,19.88,0
1883,42.74,0
1884,86.48,0
1885,56.17,0
1886,72.31,0
1887,100,0
1888,100,0
1889,25.69,0
1890,53.61,0
1891,,0
1892,,0
1893,58.64,0
1894,75,0
1895,,0
1896,,0
1897,87.5,0
1898,,0
1899,50,0
1900,0,0
1901,,0
1902,100,0
1903,,0
1904,77.59,0
1905,100,0
1906,,0
1907,100,0
1908,,0
1909,,0
1910,100,0
1911,,0
1912,,0
1913,,0
1914,97.12,0
1915,,0
1916,,0
1917,40,0
1918,100,0
1919,0,0
1920,100,0
1921,100,0
1922,,0
1923,98.37,0
1924,100,0
1925,32.83,0
1926,,0
1927,56.01,0
1928,35.17,0
1929,80,0
1930,,0
1931,50.85,0
1932,4.68,0
1933,19.35,0
1934,100,0
1935,41.87,0
1936,22.02,0
1937,48.45,0
1938,71.35,0
1939,1.1,0
1940,0.08,0
1941,33.54,0
1942,5.59,0
1943,68.32,0
1944,60.83,0
1945,,0
1946,7.27,0
1947,16.67,0
1948,35.31,0
1949,0,0
1950,47.68,0
1951,85.4,0
1952,16.7,0
1953,50,0
1954,0,0
1955,100,0
1956,0.99,0
1957,0.29,0
1958,0,0
1959,61.6,0
1960,81.82,0
1961,,0
1962,0,0
1963,50,0
1964,100,0
1965,100,0
1966,0,0
1967,3.8,0
1968,,0
1969,100,0
1970,,0
1971,,0
1972,,0
1973,100,0
1974,96.1,0
1975,0.99,0
1976,100,0
1977,,0
1978,3.29,0
1979,100,0
1980,0,0
